state,year,pop,income,tax
AL,1985,3973000,46015000,32.50000
AR,1985,2327000,26210700,37.00000
AZ,1985,3184000,43956900,31.00000
CA,1985,26444000,447103000,26.00000
CO,1985,3209000,49466700,31.00000
CT,1985,3201000,60063400,42.00000
DE,1985,618000,9927300,30.00000
FL,1985,11352000,166919000,37.00000
GA,1985,5963000,78364300,28.00000
IA,1985,2830000,37902900,34.00000
ID,1985,994000,11577300,25.10000
IL,1985,11401000,176786000,28.00001
IN,1985,5460000,71751600,26.50000
KS,1985,2428000,34784400,32.00000
KY,1985,3695000,42703100,19.00000
LA,1985,4409000,53431900,32.00000
MA,1985,5881000,98328700,42.00000
MD,1985,4414000,74851700,29.00000
ME,1985,1163000,14575300,36.00000
MI,1985,9077000,133728000,37.00000
MN,1985,4185000,63152400,34.00000
MO,1985,5001000,69341900,29.00000
MS,1985,2588000,25678500,27.58333
MT,1985,822000,9785230,32.00000
NC,1985,6255000,79104700,18.00000
ND,1985,677000,8672950,34.00000
NE,1985,1585000,21778100,34.00000
NH,1985,997000,15767500,33.00000
NJ,1985,7566000,133549000,41.00000
NM,1985,1439000,17258900,28.00000
NV,1985,951000,14581500,31.00000
NY,1985,17794000,297729000,37.00000
OH,1985,10736000,153456000,30.00000
OK,1985,3272000,43395600,34.00000
OR,1985,2673000,36205200,35.00000
PA,1985,11772000,170034000,34.00000
RI,1985,967000,14229200,39.00000
SC,1985,3304000,38536200,23.00000
SD,1985,698000,8340000,31.00000
TN,1985,4716000,57749700,29.00000
TX,1985,16275000,231003000,35.25000
UT,1985,1643000,19462400,28.00000
VA,1985,5716000,87361600,18.50000
VT,1985,530000,6887100,33.00000
WA,1985,4401000,64846500,39.00000
WI,1985,4748000,65732700,41.00000
WV,1985,1907000,20853000,33.00000
WY,1985,500000,7116760,24.00000
AL,1995,4262731,83903300,40.50000
AR,1995,2480121,45995500,55.50000
AZ,1995,4306908,88870500,65.33333
CA,1995,31493524,771470000,61.00000
CO,1995,3738061,92946500,44.00000
CT,1995,3265293,104315000,74.00000
DE,1995,718265,18237400,48.00000
FL,1995,14185403,333525000,57.90000
GA,1995,7188538,159800000,36.00000
IA,1995,2840860,60170900,60.00000
ID,1995,1165000,22868900,52.00000
IL,1995,11884935,304767000,68.00001
IN,1995,5791819,126525000,39.50000
KS,1995,2586942,56626700,48.00000
KY,1995,3855248,74079700,27.00000
LA,1995,4327978,84572700,44.00000
MA,1995,6062335,170052000,75.00000
MD,1995,5023650,135115000,60.00000
ME,1995,1237438,25045900,61.00000
MI,1995,9659871,231594000,99.00000
MN,1995,4605445,113217000,72.00000
MO,1995,5324610,117640000,41.00000
MS,1995,2690788,46242000,42.00000
MT,1995,868522,16296800,42.00000
NC,1995,7185403,157634000,29.00000
ND,1995,641548,12243400,68.00000
NE,1995,1635142,36293100,58.00000
NH,1995,1145604,28649600,49.00000
NJ,1995,7965523,233209000,64.00000
NM,1995,1682417,31716200,45.00000
NV,1995,1525777,39377300,59.00000
NY,1995,18150928,503163000,80.00000
OH,1995,11155493,255313000,48.00000
OK,1995,3265547,63333300,47.00000
OR,1995,3141421,71209300,62.00000
PA,1995,12044780,285923000,55.00000
RI,1995,989203,23786600,80.00000
SC,1995,3699943,72050100,31.00000
SD,1995,728251,14454100,47.00000
TN,1995,5241168,114260000,37.00000
TX,1995,18679706,402097000,65.00000
UT,1995,1976774,37278200,50.50000
VA,1995,6601392,161442000,26.50001
VT,1995,582827,12448600,44.00000
WA,1995,5431024,129681000,80.50000
WI,1995,5137004,115960000,62.00000
WV,1995,1820560,32611300,41.00000
WY,1995,478447,10293200,36.00000