obsno,wage,educ,exper,female,married
1,3.1,11,2,1,0
2,3.24,12,22,1,1
3,3,11,2,0,0
4,6,8,44,0,1
5,5.3,12,7,0,1
6,8.75,16,9,0,1
7,11.25,18,15,0,0
8,5,12,5,1,0
9,3.6,12,26,1,0
10,18.18,17,22,0,1
11,6.25,16,8,1,0
12,8.13,13,3,1,0
13,8.77,12,15,0,1
14,5.5,12,18,0,0
15,22.2,12,31,0,1
16,17.33,16,14,0,1
17,7.5,12,10,1,1
18,10.63,13,16,1,0
19,3.6,12,13,1,1
20,4.5,12,36,1,1
21,6.88,12,11,1,0
22,8.48,12,29,0,1
23,6.33,16,9,1,0
24,0.53,12,3,1,0
25,6,11,37,1,0
26,9.56,16,3,0,1
27,7.78,16,11,0,1
28,12.5,16,31,0,1
29,12.5,15,30,0,1
30,3.25,8,9,1,1
31,13,14,23,0,1
32,4.5,14,2,1,0
33,9.68,13,16,1,0
34,5,12,7,1,0
35,4.68,12,3,1,0
36,4.27,16,22,1,1
37,6.15,12,15,1,1
38,3.51,4,39,0,1
39,3,14,3,1,1
40,6.25,12,11,1,0
41,7.81,12,3,1,1
42,10,12,20,1,1
43,4.5,14,16,1,1
44,4,11,45,1,1
45,6.38,13,11,1,0
46,13.7,15,20,0,1
47,1.67,10,1,0,0
48,2.93,12,36,1,1
49,3.65,14,9,0,0
50,2.9,12,15,1,1
51,1.63,12,18,1,0
52,8.6,16,3,1,0
53,5,12,15,0,1
54,6,12,7,0,1
55,2.5,12,2,0,0
56,3.25,15,3,0,0
57,3.4,16,1,1,0
58,10,8,13,0,0
59,21.63,18,8,1,0
60,4.38,16,7,0,0
61,11.71,13,40,1,0
62,12.39,14,42,0,0
63,6.25,10,36,0,0
64,3.71,10,13,1,0
65,7.78,14,9,0,0
66,19.98,14,26,0,1
67,6.25,16,7,1,1
68,10,12,25,0,1
69,5.71,16,10,0,1
70,2,12,3,1,0
71,5.71,16,3,1,0
72,13.08,17,17,0,1
73,4.91,12,17,0,1
74,2.91,12,20,1,1
75,3.75,12,7,1,1
76,11.9,13,24,0,1
77,4,12,28,1,1
78,3.1,12,2,1,0
79,8.45,12,19,0,1
80,7.14,18,13,0,1
81,4.5,9,22,0,1
82,4.65,16,3,0,0
83,2.9,10,4,1,0
84,6.67,12,7,0,0
85,3.5,12,6,1,0
86,3.26,12,13,1,1
87,3.25,12,14,1,1
88,8,12,14,1,0
89,9.85,8,40,0,1
90,7.5,12,11,0,1
91,5.91,12,14,0,1
92,11.76,14,40,0,1
93,3,12,1,1,0
94,4.81,12,2,1,0
95,6.5,12,4,1,0
96,4,9,19,1,1
97,3.5,13,1,0,0
98,13.16,12,34,0,1
99,4.25,14,5,0,1
100,3.5,12,3,0,0
101,5.13,15,6,1,0
102,3.75,12,14,1,1
103,4.5,12,35,1,1
104,7.63,12,8,1,0
105,15,14,7,0,1
106,6.85,15,11,1,1
107,13.33,12,14,0,1
108,6.67,12,35,0,0
109,2.53,12,46,1,0
110,9.8,17,7,0,1
111,3.37,11,45,0,1
112,24.98,18,29,0,1
113,5.4,12,6,0,1
114,6.11,14,15,0,1
115,4.2,14,33,1,1
116,3.75,10,15,0,0
117,3.5,14,5,1,1
118,3.64,12,7,0,0
119,3.8,15,6,0,1
120,3,8,33,1,1
121,5,16,2,1,1
122,4.63,14,4,1,1
123,3,15,1,0,0
124,3.2,12,29,1,0
125,3.91,18,17,0,1
126,6.43,16,17,1,1
127,5.48,10,36,1,1
128,1.5,8,31,0,0
129,2.9,10,23,1,0
130,5,11,13,0,1
131,8.92,18,3,0,1
132,5,15,15,0,0
133,3.52,12,48,0,1
134,2.9,11,6,1,0
135,4.5,12,12,0,1
136,2.25,12,5,1,0
137,5,14,19,0,1
138,10,16,9,0,1
139,3.75,2,39,0,1
140,10,14,28,1,1
141,10.95,16,23,0,1
142,7.9,12,2,0,0
143,4.72,12,15,1,0
144,5.84,13,5,1,1
145,3.83,12,18,1,0
146,3.2,15,2,1,0
147,2,10,3,1,0
148,4.5,12,31,1,1
149,11.55,16,20,1,1
150,2.14,13,34,1,1
151,2.38,9,5,0,0
152,3.75,12,11,0,0
153,5.52,13,31,0,0
154,6.5,12,8,1,1
155,3.1,12,2,1,0
156,10,14,18,0,1
157,6.63,16,3,0,1
158,10,16,3,0,1
159,2.31,9,4,1,0
160,6.88,18,4,0,0
161,2.83,10,1,0,0
162,3.13,10,1,1,0
163,8,13,28,0,1
164,4.5,12,47,1,1
165,8.65,18,13,1,0
166,2,13,2,1,0
167,4.75,12,48,1,1
168,6.25,13,6,1,1
169,6,13,8,0,1
170,15.38,13,25,0,1
171,14.58,18,13,1,0
172,12.5,12,8,0,0
173,5.25,12,19,1,1
174,2.17,13,1,1,0
175,7.14,12,43,1,0
176,6.22,12,19,1,1
177,9,12,11,1,1
178,10,14,43,0,1
179,5.77,10,44,0,1
180,4,12,22,1,1
181,8.75,16,3,0,1
182,6.53,16,3,1,0
183,7.6,12,41,1,0
184,5,14,5,0,0
185,5,12,14,1,0
186,21.86,12,24,0,1
187,8.64,12,28,0,1
188,3.3,12,25,0,1
189,4.44,12,3,0,0
190,4.55,12,11,0,1
191,3.5,12,7,1,1
192,6.25,16,9,0,1
193,3.85,16,5,0,1
194,6.18,14,9,1,1
195,2.91,11,1,1,0
196,6.25,16,2,1,0
197,6.25,12,13,1,1
198,9.05,12,10,0,1
199,10,17,5,0,1
200,11.11,12,30,0,1
201,6.88,12,31,0,1
202,8.75,16,1,0,0
203,10,8,9,0,1
204,3.05,12,10,1,1
205,3,12,38,1,1
206,5.8,12,19,1,1
207,4.1,16,5,1,1
208,8,12,26,0,1
209,6.15,12,35,1,0
210,2.7,9,2,1,0
211,2.75,13,1,1,0
212,3,16,19,1,1
213,3,14,3,1,0
214,7.36,8,36,0,1
215,7.5,14,29,0,1
216,3.5,13,1,0,0
217,8.1,12,38,1,1
218,3.75,18,1,0,0
219,3.25,9,29,0,1
220,5.83,8,36,1,1
221,3.5,8,4,0,0
222,3.33,12,45,1,1
223,4,14,22,1,0
224,3.5,12,20,1,1
225,6.25,16,5,0,1
226,2.95,8,15,1,1
227,5.71,13,10,1,1
228,3,9,3,1,0
229,22.86,16,16,0,1
230,9,12,38,0,1
231,8.33,15,33,0,1
232,3,11,2,0,0
233,5.75,14,6,0,1
234,6.76,12,19,0,1
235,10,12,29,0,1
236,3,12,2,0,0
237,3.5,18,3,1,0
238,3.25,12,4,0,0
239,4,12,10,1,0
240,2.92,12,4,1,0
241,3.06,12,14,1,0
242,3.2,12,15,1,1
243,4.75,12,19,0,1
244,3,14,17,1,1
245,18.16,16,29,0,1
246,3.5,12,2,1,0
247,4.11,14,5,0,0
248,1.96,11,38,1,0
249,4.29,12,3,1,0
250,3,10,47,0,0
251,6.45,12,7,0,1
252,5.2,6,47,0,1
253,4.5,13,23,1,0
254,3.88,12,12,0,1
255,3.45,10,11,1,0
256,10.91,12,25,0,0
257,4.1,14,6,1,1
258,3,13,3,0,0
259,5.9,12,14,0,1
260,18,18,13,1,0
261,4,12,9,0,0
262,3,12,1,0,0
263,3.55,12,6,1,1
264,3,12,11,1,1
265,8.75,12,47,0,1
266,2.9,8,49,1,0
267,6.26,13,37,1,1
268,3.5,13,2,1,0
269,4.6,14,7,1,1
270,6,12,22,0,0
271,2.89,10,8,1,0
272,5.58,16,1,0,1
273,4,12,43,1,1
274,6,16,2,0,0
275,4.5,12,2,1,0
276,2.92,14,1,0,0
277,4.33,18,1,0,0
278,18.89,17,26,0,1
279,4.28,13,1,1,0
280,4.57,14,37,1,1
281,6.25,15,12,1,1
282,2.95,14,41,0,1
283,8.75,12,24,0,0
284,8.5,8,38,0,0
285,3.75,12,18,1,1
286,3.15,12,26,0,1
287,5,8,45,0,0
288,6.46,12,27,0,1
289,2,9,2,0,0
290,4.79,12,41,0,1
291,5.78,16,11,0,1
292,3.18,12,5,1,1
293,4.68,16,3,1,0
294,4.1,12,3,1,0
295,2.91,12,4,0,1
296,6,13,21,0,1
297,3.6,10,34,1,1
298,3.95,6,49,0,1
299,7,12,6,0,1
300,3,12,26,1,1
301,6.08,16,9,0,0
302,8.63,12,23,0,1
303,3,8,33,0,1
304,3.75,12,5,1,1
305,2.9,6,49,0,1
306,3,4,48,0,1
307,6.25,11,35,0,1
308,3.5,11,23,1,0
309,3,7,26,1,0
310,3.24,12,16,1,1
311,8.02,18,23,1,1
312,3.33,12,36,1,1
313,5.25,16,4,0,0
314,6.25,12,10,0,1
315,3.5,14,18,0,1
316,2.95,12,3,0,0
317,3,10,7,1,1
318,4.69,10,7,0,0
319,3.73,9,33,1,0
320,4,10,34,0,1
321,4,12,8,1,1
322,2.9,12,17,1,1
323,3.05,12,2,1,0
324,5.05,10,5,1,0
325,13.95,16,41,0,1
326,18.16,16,35,0,1
327,6.25,16,11,0,0
328,5.25,12,4,0,0
329,4.79,12,12,1,1
330,3.35,7,35,1,0
331,3,8,33,0,1
332,8.43,16,8,0,1
333,5.7,16,2,0,0
334,11.98,18,8,0,1
335,3.5,13,29,1,1
336,4.24,10,14,0,1
337,7,16,26,1,1
338,6,14,11,1,1
339,12.22,16,10,0,0
340,4.5,12,13,0,1
341,3,9,23,1,1
342,2.9,11,1,0,0
343,15,11,35,0,1
344,4,12,5,0,1
345,5.25,11,13,0,1
346,4,12,22,0,1
347,3.3,12,21,1,1
348,5.05,12,19,1,1
349,3.58,12,13,0,0
350,5,14,15,0,1
351,4.57,14,3,0,1
352,12.5,18,6,0,0
353,3.45,12,6,1,1
354,4.63,12,16,1,0
355,10,12,31,0,1
356,2.92,11,1,1,0
357,4.51,12,5,0,0
358,6.5,17,3,0,1
359,7.5,16,11,0,1
360,3.54,13,6,1,1
361,4.2,13,11,1,1
362,3.51,12,7,1,1
363,4.5,14,5,0,1
364,3.35,14,5,1,1
365,2.91,11,2,0,0
366,5.25,10,44,0,1
367,4.05,8,44,0,1
368,3.75,14,13,1,1
369,3.4,12,26,1,1
370,3,10,2,1,0
371,6.29,17,10,0,1
372,2.54,9,2,1,0
373,4.5,12,35,1,1
374,3.13,12,6,1,1
375,6.36,14,8,0,1
376,4.68,16,1,0,0
377,6.8,12,14,0,1
378,8.53,10,14,0,1
379,4.17,0,22,1,0
380,3.75,14,8,1,1
381,11.1,15,1,1,0
382,3.26,16,15,1,1
383,9.13,12,14,0,1
384,4.5,11,37,0,1
385,3,11,1,1,0
386,8.75,12,4,0,1
387,4.14,13,29,1,1
388,2.87,12,45,1,1
389,3.35,13,22,1,0
390,6.08,16,42,0,0
391,3,15,9,0,0
392,4.2,16,8,1,1
393,5.6,15,31,1,0
394,10,12,24,0,1
395,12.5,18,16,0,1
396,3.76,6,6,0,0
397,3.1,6,14,1,0
398,4.29,12,47,1,1
399,10.92,12,34,0,1
400,7.5,16,6,1,1
401,4.05,9,7,1,1
402,4.65,12,27,0,1
403,5,11,24,0,1
404,2.9,10,18,1,1
405,8,12,12,1,0
406,8.43,8,27,0,1
407,2.92,9,49,1,0
408,6.25,17,4,1,0
409,6.25,16,24,1,1
410,5.11,11,3,0,0
411,4,10,2,1,0
412,4.44,8,29,0,1
413,6.88,13,34,0,1
414,5.43,14,10,0,1
415,3,13,5,1,0
416,2.9,11,2,1,0
417,6.25,7,39,0,1
418,4.34,16,5,1,0
419,3.25,12,14,1,1
420,7.26,13,8,0,0
421,6.35,14,10,1,1
422,5.63,16,2,0,1
423,8.75,14,9,0,1
424,3.2,11,1,0,0
425,3,8,45,1,1
426,3,14,33,1,1
427,12.5,17,21,0,1
428,2.88,10,2,1,0
429,3.35,12,9,0,1
430,6.5,12,33,0,1
431,10.38,18,16,0,1
432,4.5,14,10,0,1
433,10,18,9,0,0
434,3.81,12,8,1,1
435,8.8,16,9,0,1
436,9.42,14,23,1,1
437,6.33,12,23,0,1
438,4,9,22,0,0
439,2.9,12,37,1,1
440,20,12,22,0,1
441,11.25,17,28,0,1
442,3.5,12,14,1,0
443,6,15,19,1,1
444,14.38,17,10,0,1
445,6.36,16,25,0,1
446,3.55,12,21,1,1
447,3,15,32,0,1
448,4.5,16,21,0,1
449,6.63,12,36,1,0
450,9.3,15,2,0,1
451,3,12,11,1,1
452,3.25,12,40,1,0
453,1.5,12,11,1,1
454,5.9,12,9,1,1
455,8,16,23,0,0
456,2.9,11,1,1,0
457,3.29,14,30,0,0
458,6.5,14,41,0,1
459,4,13,6,1,0
460,6,14,11,0,1
461,4.08,12,43,1,1
462,3.75,12,39,1,1
463,3.05,8,50,1,0
464,3.5,12,26,1,1
465,2.92,3,51,0,0
466,4.5,11,3,0,0
467,3.35,15,3,1,1
468,5.95,11,15,0,1
469,8,12,17,0,1
470,3,4,36,0,1
471,5,9,31,0,1
472,5.5,12,9,0,1
473,2.65,12,42,1,1
474,3,11,3,1,0
475,4.5,12,37,1,1
476,17.5,16,23,0,1
477,8.18,13,21,0,0
478,9.09,15,11,0,1
479,11.82,16,35,0,1
480,3.25,12,42,1,1
481,4.5,12,3,0,0
482,4.5,12,13,0,1
483,3.71,9,14,0,1
484,6.5,10,14,0,1
485,2.9,12,39,1,1
486,5.6,11,11,0,1
487,2.23,8,28,0,1
488,5,6,18,1,1
489,8.33,16,6,0,1
490,2.9,12,26,1,0
491,6.25,12,21,0,1
492,4.55,16,34,0,1
493,3.28,12,17,1,0
494,2.3,10,2,1,0
495,3.3,13,5,1,0
496,3.15,13,1,1,0
497,12.5,14,40,0,1
498,5.15,16,39,1,0
499,3.13,10,1,0,0
500,7.25,12,14,0,1
501,2.9,12,2,1,0
502,1.75,11,2,0,0
503,2.89,0,42,1,1
504,2.9,5,34,1,1
505,17.71,16,10,0,1
506,6.25,16,4,0,1
507,2.6,9,4,0,0
508,6.63,15,21,1,1
509,3.5,12,31,1,0
510,6.5,12,20,0,1
511,3,12,36,1,0
512,4.38,13,7,0,1
513,10,12,15,0,0
514,4.95,7,25,0,1
515,9,17,7,1,1
516,1.43,12,17,1,1
517,3.08,12,3,0,0
518,9.33,14,12,0,1
519,7.5,12,18,0,1
520,4.75,13,47,0,1
521,5.65,12,2,0,0
522,15,16,14,1,1
523,2.27,10,2,1,0
524,4.67,15,13,0,1
525,11.56,16,5,0,1
526,3.5,14,5,1,0